"study_id","arm_id","arm_label_in_paper","arm_role","comparison_1_eligible","comparison_2_eligible","comparison_3_eligible","n_patients","age_median_years","pct_male","disease_aml_pct","disease_all_pct","disease_mds_pct","disease_risk_high_pct","donor_haplo_pct","donor_msd_pct","donor_mud_pct","donor_predominant","graft_predominant","conditioning_mac_pct","conditioning_ric_pct","conditioning_predominant","ptcy_used","ptcy_dose_mg_kg_per_dose","ptcy_total_dose_mg_kg","cni_agent","mmf_used","mtx_used","sirolimus_used","atg_used","atg_agent","atg_total_dose_mg_kg","cmv_recipient_pos_pct","systemic_steroid_for_gvhd_exposure_pct","first_author","pub_year"
109,124,"PMH ATG-PTCy-CNI cohort (entire)","PTCy_arm","N","Y","N",341,"58","57","85","15","0","NR","0","0","100","MUD","PBSC","31","69","RIC","Y","50","100","cyclosporine","N","N","N","Y","rabbit_thymoglobulin","2.5","NR","NR","Desai N",2025
110,126,"PTCy","PTCy_arm","Y","N","N",75,"61","66","0","0","0","NR","9","25","53","MUD","PBSC","8","92","RIC","Y","NR","NR","NR","Y","N","N","Y","rabbit_thymoglobulin","2","NR","22.3","Desai N",2025
111,130,"Group III: PTCy-ATG-CNI","PTCy_arm","Y","N","N",78,"57","56.4","56.4","6.4","16.7","32.1","0","100","0","MSD","PBSC","7.7","92.3","RIC","Y","50","100","NR","N","N","N","Y","rabbit_thymoglobulin","2","74.4","16","Desai N",2025
111,131,"Group IV: PTCy-CNI-MMF","PTCy_arm","Y","Y","N",91,"56","47.3","52.7","13.2","16.5","19.8","0","100","0","MSD","PBSC","52.7","47.3","MAC","Y","50","100","NR","Y","N","N","N","","","79.1","32","Desai N",2025
112,133,"Group B: CNI-MTX/MMF","comparator_arm","Y","N","N",686,"29","52","52","40","8","25","0","0","94","MUD","PBSC","91","8","MAC","N","","","NR","mixed","mixed","N","N","","","59","39.9","Desai N",2026
112,134,"Group C: CNI-MTX/MMF+ATG","comparator_arm","Y","Y","N",395,"29","57","55","37","8","26","0","0","87","MUD","PBSC","91","8","MAC","N","","","NR","mixed","mixed","N","Y","NR","NR","56","39.7","Desai N",2026
112,132,"Group A: PTCy-CNI-MMF","PTCy_arm","Y","Y","N",306,"31","55","50","40","10","25","0","0","73","MUD","PBSC","80","14","MAC","Y","NR","NR","NR","Y","N","N","N","","","56","28.1","Desai N",2026
416,458,"PTCy70 (reduced-dose)","PTCy_arm","N","N","Y",41,"60","63.4","100","0","0","10.5","0","0","100","MUD","PBSC","22","78","RIC","Y","35","70","cyclosporine","N","N","N","Y","rabbit_thymoglobulin","2","72.5","30.4","Desai N",2026
416,459,"PTCy100 (standard-dose contemporary control)","PTCy_arm","N","N","Y",132,"61","56","100","0","0","6.8","0","0","100","MUD","PBSC","43.2","56.8","RIC","Y","50","100","cyclosporine","N","N","N","Y","rabbit_thymoglobulin","2","83.3","20.3","Desai N",2026
118,136,"CBT (single or double cord blood, no PTCy)","comparator_arm","Y","N","N",902,"50.5","47.7","100","0","0","16","0","0","0","UCB","UCB","46.1","53.9","mixed","N","","","mixed","Y","Y","Y","mixed","NR","NR","66.9","36","Dholaria",2021
118,135,"MMUD with PTCy (9/10 single-allele MMUD)","PTCy_arm","Y","N","N",280,"52.1","58.2","100","0","0","14.3","0","0","0","MMUD","PBSC","50.4","49.6","mixed","Y","50","100","mixed","Y","Y","Y","mixed","NR","NR","73.6","31.6","Dholaria",2021
119,138,"HLA-matched donor SCT (ATG)","comparator_arm","Y","N","N",34,"54.5","41.2","100","0","0","67.6","0","26.5","61.8","MUD","PBSC","NR","100","RIC","N","","","cyclosporine","Y","N","N","Y","NR","NR","38.2","50","Doppelhammer",2019
119,137,"Haploidentical donor SCT (PTCy)","PTCy_arm","Y","N","N",34,"54","55.9","100","0","0","73.5","100","0","0","haplo","PBSC","NR","100","RIC","Y","NR","NR","tacrolimus","Y","N","N","N","","","41.2","13","Doppelhammer",2019
120,140,"MSD (matched sibling donor)","comparator_arm","Y","N","N",525,"55","61.5","0","0","0","NR","0","100","0","MSD","PBSC","0","NR","RIC","N","","","NR","mixed","mixed","NR","N","","","NR","32","Dreger",2019
120,141,"MUD TCD+ (with ATG or alemtuzumab)","comparator_arm","N","Y","N",403,"55","64.3","0","0","0","NR","0","0","100","MUD","PBSC","0","NR","RIC","N","","","NR","mixed","mixed","NR","Y","mixed","NR","NR","32","Dreger",2019
120,142,"MUD TCD- (without ATG or alemtuzumab)","comparator_arm","Y","N","N",378,"56","57.7","0","0","0","NR","0","0","100","MUD","PBSC","0","NR","RIC","N","","","NR","mixed","mixed","NR","N","","","NR","42","Dreger",2019
120,139,"Haploidentical donor (PTCy)","PTCy_arm","Y","Y","N",132,"58","65","0","0","0","NR","100","0","0","haplo","BM","0","NR","NMA","Y","50","100","NR","mixed","N","N","N","","","NR","34","Dreger",2019
417,461,"No PT-Cy","comparator_arm","N","N","N",195,"56","58","43","16","11","23","0.5","42.5","57","mixed","PBSC","51","20","mixed","N","","","NR","NR","NR","NR","Y","NR","NR","NR","33","Dulery R",2021
417,460,"PT-Cy","PTCy_arm","N","N","N",136,"53","63","51","13","10","36","86","4","10","haplo","PBSC","23.5","34","mixed","Y","50","mixed 50 or 100","NR","NR","NR","NR","Y","NR","NR","NR","22","Dulery R",2021
418,463,"PT-Cy 100 mg/kg (standard dose)","comparator_arm","N","N","Y",25,"67","68","68","0","12","48","100","0","0","haplo","PBSC","0","40","RIC","Y","50","100","cyclosporine","Y","N","N","Y","rabbit_thymoglobulin","2.5 (RIC) or 5 (sequential)","NR","17","Dulery R",2023
418,462,"PT-Cy 70 mg/kg (reduced dose)","PTCy_arm","N","N","Y",33,"69","55","61","0","24","58","100","0","0","haplo","PBSC","0","45","RIC","Y","35","70","cyclosporine","Y","N","N","Y","rabbit_thymoglobulin","2.5 (RIC) or 5 (sequential)","NR","18","Dulery R",2023
122,144,"CsA + Mtx + ATG","comparator_arm","N","Y","N",35,"NR","51.4","NR","20","NR","NR","0","0","0","MMUD","PBSC","85.7","5.7","MAC","N","","","cyclosporine","N","Y","N","Y","mixed","mixed","82.9","31.4","Dybko J",2023
123,147,"CsA + Mtx + ATG (MMUD-HSCT)","comparator_arm","Y","N","N",35,"45","51.4","NR","20","NR","NR","0","0","0","MMUD","PBSC","85.7","5.7","MAC","N","","","cyclosporine","N","Y","N","Y","mixed","NR","82.9","60","Dybko J",2023
122,143,"PTCy + TAK + MMF","PTCy_arm","N","Y","N",110,"NR","50.9","NR","13.6","NR","NR","84.5","0","0","haplo","PBSC","65.5","17.3","MAC","Y","50","100","tacrolimus","Y","N","N","N","","","81.8","17.3","Dybko J",2023
123,145,"PTCy + TAK + MMF (haplo-HSCT)","PTCy_arm","N","N","N",110,"NR","NR","NR","NR","NR","NR","100","0","0","haplo","PBSC","NR","NR","MAC","Y","50","100","tacrolimus","Y","N","N","N","","","NR","NR","Dybko J",2023
123,146,"PTCy + TAK + MMF (MMUD-HSCT)","PTCy_arm","Y","N","N",17,"NR","NR","NR","NR","NR","NR","0","0","0","MMUD","PBSC","NR","NR","MAC","Y","50","100","tacrolimus","Y","N","N","N","","","NR","NR","Dybko J",2023
124,150,"ATG-MMUD","comparator_arm","N","Y","N",37,"45","48.6","NR","18.9","NR","NR","0","0","0","MMUD","PBSC","86.5","5.4","MAC","N","","","cyclosporine","N","Y","N","Y","mixed","NR","NR","59.5","Dybko J",2024
124,148,"PTCy-haplo","PTCy_arm","N","N","N",114,"44","45.6","NR","15.8","NR","NR","100","0","0","haplo","PBSC","53.5","29.8","MAC","Y","50","100","tacrolimus","Y","N","N","N","","","NR","35.1","Dybko J",2024
124,149,"PTCy-MMUD","PTCy_arm","N","Y","N",23,"54","56.5","NR","8.7","NR","NR","0","0","0","MMUD","PBSC","100","0","MAC","Y","50","100","tacrolimus","Y","N","N","N","","","NR","21.7","Dybko J",2024
419,465,"CSA/MTX (historical)","comparator_arm","Y","N","N",344,"39.6","59.9","35.5","24.7","8.7","35.8","0","83.1","11.9","MSD","PBSC","100","0","MAC","N","","","cyclosporine","N","Y","N","N","","","NR","37","El Jurdi N",2023
419,464,"PTCy/Tac/MMF","PTCy_arm","Y","N","N",125,"38.7","52","44","30.4","7.2","32","0","55.2","35.2","MSD","PBSC","100","0","MAC","Y","50","100","tacrolimus","Y","N","N","N","","","NR","16","El Jurdi N",2023
133,152,"sUCBT (single UCB transplantation)","comparator_arm","Y","N","N",47,"38","57.4","55.3","19.1","0","27.7","0","0","0","UCB","UCB","100","0","MAC","N","","","cyclosporine","mixed","N","N","Y","rabbit_thymoglobulin","5","29.8","26","Esquirol A",2020
133,151,"HaploHCT (HRT)","PTCy_arm","Y","N","N",30,"48","53.3","53.3","13.3","16.7","66.7","100","0","0","haplo","PBSC","100","0","MAC","Y","50","100","tacrolimus","N","N","N","N","","","20","14","Esquirol A",2020
134,153,"Haploidentical HSCT with PTCy (entire cohort)","PTCy_arm","N","N","N",236,"50","61","32","9","17","34","100","0","0","haplo","PBSC","32","68","RIC","Y","50","100","mixed","Y","N","N","N","","","77","31","Esquirol A",2021
421,467,"CsA-MTX/MMF","comparator_arm","Y","N","N",271,"52","65","NR","NR","NR","31","0","81","12","MSD","PBSC","0","100","RIC","N","","","cyclosporine","Y","Y","N","N","","","84","NR","Esquirol A",2024
421,468,"Tacrolimus-Sirolimus (Tac-Siro)","comparator_arm","N","N","N",145,"57","57","NR","NR","NR","30","0","31","58","MUD","PBSC","0","100","RIC","N","","","tacrolimus","N","N","Y","N","","","83","NR","Esquirol A",2024
421,466,"PTCy-Tacrolimus (PT Cy-tacro)","PTCy_arm","Y","N","N",68,"57","61","NR","NR","NR","43","0","21","36","MMUD","PBSC","0","100","RIC","Y","50","100","tacrolimus","N","N","N","N","","","74","NR","Esquirol A",2024
136,155,"SIR/TAC","comparator_arm","N","Y","N",89,"52.85","62.9","0","0","0","16.9","0","22.5","58.4","MUD","PBSC","0","100","RIC","N","","","tacrolimus","N","N","Y","Y","NR","NR","NR","25","Fox ML",2024
136,154,"PTCY","PTCy_arm","N","Y","N",82,"49.91","62.2","0","0","0","29.3","0","47.6","35.4","MSD","PBSC","0","100","RIC","Y","50","100","other","mixed","N","Y","N","","","NR","22","Fox ML",2024
137,158,"MMUD-OTHERS","comparator_arm","N","Y","N",74,"58","NR","NR","NR","23","27","0","0","0","MMUD","PBSC","0","100","RIC","N","","","tacrolimus","Y","NR","Y","Y","NR","NR","NR","37.8","Fox ML",2026
137,156,"HAPLO","PTCy_arm","N","Y","N",330,"55","NR","NR","NR","13","33","100","0","0","haplo","PBSC","0","100","RIC","Y","50","100","mixed","NR","N","Y","Y","NR","NR","NR","41.8","Fox ML",2026
137,157,"MMUD-PTCy","PTCy_arm","N","Y","N",49,"60","NR","NR","NR","18","36","0","0","0","MMUD","PBSC","0","100","RIC","Y","50","100","tacrolimus","NR","N","Y","Y","NR","NR","NR","39.4","Fox ML",2026
140,160,"dUCB (double unrelated umbilical cord blood)","comparator_arm","Y","N","N",186,"58","52.2","52.7","16.7","0","18.8","0","0","0","UCB","UCB","0","100","RIC","N","","","cyclosporine","Y","N","N","N","","","56.3","35","Fuchs EJ",2021
140,159,"haplo-BM (HLA-haploidentical bone marrow with PTCy)","PTCy_arm","Y","N","N",182,"60","58.2","53.8","17.6","0","20.3","100","0","0","haplo","BM","0","100","RIC","Y","50","100","tacrolimus","Y","N","N","N","","","59.3","28","Fuchs EJ",2021
422,469,"HAPLO arm","PTCy_arm","N","N","N",60,"45","48","67","12","NR","38","100","0","0","haplo","BM","0","100","RIC","Y","50","100","tacrolimus","Y","N","N","N","","","NR","28","Gaballa S",2016
422,470,"9/10 MUD arm","PTCy_arm","N","N","N",46,"51","50","54","11","NR","40","0","0","0","MMUD","BM","0","100","RIC","Y","50","100","tacrolimus","Y","N","N","N","","","NR","33","Gaballa S",2016
141,162,"Triple MTX based","comparator_arm","Y","N","N",43,"NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","N","","","cyclosporine","Y","Y","N","N","","","NR","NR","Galli E",2022
141,161,"Triple PTCY based","PTCy_arm","Y","N","N",188,"NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","MAC","Y","50","100","cyclosporine","Y","N","N","N","","","NR","NR","Galli E",2022
142,164,"9/10-MUD + ATG","comparator_arm","N","Y","N",1134,"58","NR","76.4","0","23.6","25.9","0","0","0","MMUD","PBSC","51.2","48.3","MAC","N","","","NR","mixed","mixed","N","Y","NR","NR","59","30.5","Gantner",2026
142,163,"Haplo + PT-Cy","PTCy_arm","N","Y","N",279,"58","NR","83.5","0","16.5","24.4","100","0","0","haplo","PBSC","56.3","43.7","MAC","Y","NR","NR","NR","Y","N","N","N","","","67.8","35.6","Gantner",2026
144,166,"MSD-HSCT","comparator_arm","Y","N","N",39,"27","46.2","0","0","0","NR","0","100","0","MSD","mixed","NR","NR","mixed","mixed","NR","NR","mixed","Y","mixed","N","Y","NR","10","NR","23.1","Gao M",2025
144,165,"haplo-HSCT","PTCy_arm","Y","N","N",117,"24","47","0","0","0","NR","100","0","0","haplo","mixed","NR","NR","mixed","mixed","NR","NR","mixed","Y","mixed","N","Y","NR","10","NR","21.4","Gao M",2025
426,476,"HaploSCT","PTCy_arm","N","N","N",40,"47","53","NR","NR","NR","38","100","0","0","haplo","PBSC","100","0","MAC","Y","50","100","tacrolimus","N","N","Y","N","","","75","20.3","Garcia-Cadenas Irene",2021
426,477,"MRD/VUD/MMUD (non-haploSCT)","PTCy_arm","N","N","N",77,"54","55","NR","NR","NR","37","0","29","30","mixed","PBSC","27","73","RIC","Y","50","100","tacrolimus","N","N","Y","N","","","73","29","Garcia-Cadenas Irene",2021
146,168,"PTCy","comparator_arm","N","N","Y",237,"57","35.4","50.6","17.7","16","13.9","100","0","0","haplo","NR","40.5","NR","NR","Y","50","100","NR","Y","N","N","N","","","70.5","30","Garcia-Horton A",2026
146,167,"ATG-PTCy","PTCy_arm","N","N","Y",148,"58","44","51.4","11.5","21.6","18.9","100","0","0","haplo","NR","30.4","NR","NR","Y","50","100","mixed","N","N","N","Y","NR","4.5","82.4","22","Garcia-Horton A",2026
151,170,"ATG","comparator_arm","N","Y","N",779,"43","57","0","100","0","NR","0","0","100","MUD","PBSC","81.5","18.5","MAC","N","","","mixed","Y","Y","N","Y","rabbit_thymoglobulin","NR","64","30","Giebel S",2023
151,169,"PTCY","PTCy_arm","N","Y","N",117,"40","61","0","100","0","NR","0","0","100","MUD","PBSC","77","23","MAC","Y","NR","NR","mixed","Y","N","Y","N","","","65","31","Giebel S",2023
158,171,"Haplo-HCT with PT-Cy (whole cohort)","PTCy_arm","N","N","N",138,"NR","50","67.4","NR","10.9","36.2","100","0","0","haplo","PBSC","42","58","RIC","Y","NR","NR","tacrolimus","Y","N","NR","N","","","58","31.9","Goldsmith SR",2016
4,5,"SibCNI","comparator_arm","Y","N","N",1605,"57","58","64","4","32","NR","0","100","0","MSD","PBSC","58","42","MAC","N","","","other","mixed","mixed","NR","N","","","67","NR","Goldsmith SR",2021
4,3,"HaploCy","PTCy_arm","Y","N","N",757,"58","61","70","3","27","NR","100","0","0","haplo","PBSC","41","59","RIC","Y","NR","NR","NR","NR","NR","NR","N","","","72","NR","Goldsmith SR",2021
4,4,"SibCy","PTCy_arm","Y","N","N",403,"46","60","77","5","18","NR","0","100","0","MSD","PBSC","55","45","MAC","Y","NR","NR","NR","NR","NR","NR","N","","","68","NR","Goldsmith SR",2021
166,173,"ATG group (standard-dose ATG 10 mg/kg)","comparator_arm","Y","N","N",31,"34","67.7","48.4","35.5","12.9","51.6","100","0","0","haplo","mixed","100","0","MAC","N","","","cyclosporine","Y","Y","N","Y","rabbit_thymoglobulin","10","NR","25.8","Guo W",2026
166,172,"ATG-PTCy group (reduced-dose ATG 7.5 mg/kg + PTCy 20 mg/kg/d d+3,+4)","PTCy_arm","Y","N","N",30,"36","63.3","56.7","23.3","20","53.3","100","0","0","haplo","mixed","100","0","MAC","Y","20","40","cyclosporine","Y","Y","N","Y","rabbit_thymoglobulin","7.5","NR","16.7","Guo W",2026
167,175,"MRD-HSCT (CNI-based, no ATG)","comparator_arm","Y","N","N",16,"53","75","0","0","0","37","0","100","0","MSD","PBSC","0","100","RIC","N","","","NR","Y","Y","Y","N","","","56","50","Haebe S",2023
167,176,"URD-HSCT (ATG + CNI-based)","comparator_arm","Y","Y","N",16,"51","50","0","0","0","12.5","0","0","100","MUD","PBSC","0","100","RIC","N","","","NR","Y","N","Y","Y","NR","45","44","44","Haebe S",2023
167,174,"Haplo-HSCT (PTCY)","PTCy_arm","Y","Y","N",16,"52","68.8","0","0","0","31","100","0","0","haplo","BM","0","100","RIC","Y","50","100","tacrolimus","Y","N","N","N","","","50","13","Haebe S",2023
168,178,"MSD HCT","comparator_arm","Y","N","N",911,"51","35","0","0","0","NR","0","100","0","MSD","PBSC","38","62","RIC","N","","","NR","NR","NR","NR","N","","","NR","31","Hamadani M",2022
168,179,"MUD TCD+ (with in vivo T-cell depletion)","comparator_arm","Y","Y","N",468,"53","35","0","0","0","NR","0","0","100","MUD","PBSC","33","67","RIC","N","","","NR","NR","NR","NR","Y","other","NR","NR","30","Hamadani M",2022
168,180,"MUD TCD- (without in vivo T-cell depletion)","comparator_arm","Y","N","N",326,"54","37","0","0","0","NR","0","0","100","MUD","PBSC","27","73","RIC","N","","","NR","NR","NR","NR","N","","","NR","37","Hamadani M",2022
168,177,"Haplo-HCT","PTCy_arm","Y","Y","N",237,"54","35","0","0","0","NR","100","0","0","haplo","PBSC","27","73","RIC","Y","NR","NR","NR","mixed","N","NR","N","","","NR","33","Hamadani M",2022
170,182,"UCB-H (UCB CD34+ >=0.84 x 10^5/kg)","comparator_arm","Y","N","N",3185,"56","50","NR","NR","NR","50.7","0","0","0","UCB","UCB","59.5","40.5","MAC","N","","","NR","mixed","mixed","N","NR","NR","NR","NR","37.3","Harada K",2025
170,183,"UCB-L (UCB CD34+ <0.84 x 10^5/kg)","comparator_arm","Y","N","N",3172,"55","64.2","NR","NR","NR","50.3","0","0","0","UCB","UCB","58.4","41.6","MAC","N","","","NR","mixed","mixed","N","NR","NR","NR","NR","34.4","Harada K",2025
170,181,"PTCy-haplo","PTCy_arm","Y","N","N",1142,"54","62.4","NR","NR","NR","48.4","100","0","0","haplo","PBSC","42","58","RIC","Y","NR","NR","NR","Y","N","N","N","","","NR","26.4","Harada K",2025
424,472,"TAC/MTX","comparator_arm","Y","N","N",71,"65","NR","50.7","0","28.2","43.6","0","26.8","70.4","MUD","NR","0","NR","RIC","N","","","tacrolimus","N","Y","N","N","","","NR","26.8","Hassan K",2025
424,471,"PTCy-based","PTCy_arm","Y","N","N",36,"64","NR","58.3","0","30.6","32.3","33.3","2.8","63.9","mixed","NR","0","NR","RIC","Y","NR","NR","tacrolimus","Y","N","N","N","","","NR","16.7","Hassan K",2025
178,185,"MRD (HLA-matched related donor)","comparator_arm","Y","N","N",76,"54","66","NR","NR","NR","NR","0","100","0","MSD","PBSC","28.9","71.1","RIC","N","","","mixed","NR","NR","Y","Y","NR","NR","86.8","31.6","Huntley D",2020
178,186,"MUD (HLA-matched unrelated donor)","comparator_arm","Y","N","N",62,"55","52","NR","NR","NR","NR","0","0","100","MUD","PBSC","22.6","77.4","RIC","N","","","mixed","NR","NR","Y","Y","NR","NR","88.7","27.4","Huntley D",2020
178,187,"HLA mismatched (MMRD/MMUD)","comparator_arm","Y","N","N",27,"50","52","NR","NR","NR","NR","0","0","0","MMUD","PBSC","37","63","RIC","N","","","mixed","NR","NR","Y","Y","NR","NR","81.4","18.5","Huntley D",2020
178,184,"Haploidentical (haplo-HSCT with PTCy)","PTCy_arm","Y","N","N",118,"58","59","NR","NR","NR","NR","100","0","0","haplo","PBSC","29.7","70.3","RIC","Y","50","100","mixed","Y","NR","Y","Y","NR","NR","87.3","26.3","Huntley D",2020
425,473,"DL1 HD-PTCy 50 mg/kg/day days +3/+4","comparator_arm","N","N","Y",5,"25","60","20","60","0","40","100","0","0","haplo","BM","100","0","MAC","Y","50","100","","Y","N","Y","N","","","80","NR","Hyder MA",2025
425,474,"DL2 ID-PTCy 25 mg/kg/day days +3/+4","PTCy_arm","N","N","Y",23,"34","60.9","21.7","43.5","0","43.5","100","0","0","haplo","BM","100","0","MAC","Y","25","50","","Y","N","Y","N","","","73.9","0","Hyder MA",2025
425,475,"DL3 PTCy 25 mg/kg day +4 only","PTCy_arm","N","N","Y",7,"23","42.9","42.9","28.6","14.3","57.1","100","0","0","haplo","BM","100","0","MAC","Y","25","25","","Y","N","Y","N","","","85.7","NR","Hyder MA",2025
180,189,"Tac-MTX","comparator_arm","Y","N","N",87,"61","47.1","37.9","13.8","24.1","NR","0","32.2","67.8","MUD","PBSC","34.5","65.5","RIC","N","","","tacrolimus","N","Y","N","N","","","69","34.5","Iqbal M",2023
180,188,"PTCy-Siro","PTCy_arm","Y","N","N",29,"48","51.7","10.3","6.9","13.8","NR","0","27.6","72.4","MUD","PBSC","27.6","72.4","RIC","Y","50","100","","N","N","Y","N","","","62.1","17.2","Iqbal M",2023
183,190,"Cohort A: MRD/MUD CNI-based","comparator_arm","Y","N","N",94,"52","53","46","13","15","55","0","84","16","MSD","NR","81","19","MAC","N","","","NR","NR","NR","NR","NR","NR","NR","73","35","Jamy O",2022
183,191,"Cohort B: MRD/MUD 1-dose PTCy/Tac/MMF","PTCy_arm","Y","N","N",103,"53","50","42","9","24","60","0","2","98","MUD","NR","92","8","MAC","Y","50","50","tacrolimus","Y","N","N","NR","NR","NR","74","33","Jamy O",2022
183,192,"Cohort C: Haplo 2-dose PTCy/Tac/MMF","PTCy_arm","Y","N","N",28,"50","57","61","11","4","56","100","0","0","haplo","NR","93","7","MAC","Y","50","100","tacrolimus","Y","N","N","NR","NR","NR","82","28","Jamy O",2022
184,194,"MUD/MSD-PBSCT","comparator_arm","Y","N","N",40,"61.5","50","75","0","22.5","57.5","0","52.5","47.5","mixed","PBSC","0","100","RIC","mixed","50","50","cyclosporine","Y","mixed","N","Y","rabbit_thymoglobulin","5","NR","12.3","Jia Y",2025
184,193,"haplo-PBSCT","PTCy_arm","Y","N","N",87,"61","56.3","78.2","0","20.7","56.3","100","0","0","haplo","PBSC","0","100","RIC","Y","50","50","cyclosporine","Y","N","N","Y","rabbit_thymoglobulin","5","NR","9.2","Jia Y",2025
185,196,"ATG","comparator_arm","N","Y","N",46,"55","52.2","NR","NR","24","33","0","0","0","MMUD","PBSC","57","NR","NR","N","","","tacrolimus","N","Y","N","Y","rabbit_thymoglobulin","5-7.5","80","NR","Jimenez Jimenez",2022
185,195,"PTCy","PTCy_arm","N","Y","N",82,"60","54.9","NR","NR","26","20","0","0","0","MMUD","mixed","41","NR","NR","Y","50","100","mixed","Y","N","Y","N","","","67","NR","Jimenez Jimenez",2022
187,198,"UCB","comparator_arm","Y","N","N",1669,"45","53","0","100","0","21.1","0","0","0","UCB","UCB","54.8","45.1","mixed","N","","","NR","NR","NR","NR","NR","NR","NR","80","NR","Jo T",2024
290,315,"UCB","comparator_arm","Y","N","N",1669,"45","53","0","100","0","21.1","0","0","0","UCB","UCB","54.8","45.1","MAC","N","","","NR","NR","NR","NR","NR","NR","NR","80","NR","Jo T",2024
187,197,"PTCy-haplo","PTCy_arm","Y","N","N",330,"44.5","60.9","0","100","0","25.5","100","0","0","haplo","PBSC","50.6","49.4","mixed","Y","NR","NR","NR","NR","NR","NR","NR","NR","NR","80.6","NR","Jo T",2024
290,314,"PTCy-haplo","PTCy_arm","Y","N","N",330,"44.5","60.9","0","100","0","25.5","100","0","0","haplo","PBSC","50.6","49.4","MAC","Y","NR","NR","NR","NR","NR","NR","NR","NR","NR","80.6","NR","Jo T",2024
192,200,"PTcy not received","comparator_arm","Y","N","N",29,"NR","NR","NR","NR","NR","NR","0","100","0","MSD","NR","NR","NR","NR","N","","","cyclosporine","Y","N","N","mixed","NR","NR","NR","NR","Kahraman",2026
192,199,"PTcy received","PTCy_arm","Y","N","N",49,"NR","NR","NR","NR","NR","NR","28.6","18.4","53.1","mixed","NR","NR","NR","NR","Y","50","100","cyclosporine","Y","N","N","mixed","NR","NR","NR","NR","Kahraman",2026
196,202,"URD without ATG","comparator_arm","Y","N","N",491,"55","61.3","0","0","0","9.8","0","0","100","MUD","PBSC","0","NR","mixed","N","","","mixed","mixed","mixed","mixed","N","","","NR","40","Kanate AS",2016
196,203,"URD with ATG","comparator_arm","Y","Y","N",241,"55","67.6","0","0","0","15.4","0","0","100","MUD","PBSC","0","NR","mixed","N","","","mixed","mixed","mixed","mixed","Y","NR","NR","NR","49","Kanate AS",2016
196,201,"Haploidentical","PTCy_arm","Y","Y","N",185,"55","63.8","0","0","0","7","100","0","0","haplo","BM","0","NR","mixed","Y","NR","NR","tacrolimus","Y","N","N","N","","","NR","27","Kanate AS",2016
197,205,"No post-AHSCT cyclophosphamide","comparator_arm","Y","N","N",119,"NR","NR","NR","NR","NR","NR","NR","NR","NR","mixed","mixed","NR","NR","mixed","N","","","NR","NR","NR","NR","NR","NR","NR","NR","NR","Kaphan E",2021
197,204,"Post-AHSCT cyclophosphamide (haploidentical and 9/10 MMUD)","PTCy_arm","Y","N","N",49,"NR","NR","NR","NR","NR","NR","NR","0","0","haplo","mixed","NR","NR","mixed","Y","50","100","NR","NR","NR","NR","NR","NR","NR","NR","NR","Kaphan E",2021
198,207,"MTX-CysA (Methotrexate + Cyclosporine A)","comparator_arm","Y","N","N",25,"44","60","48","28","0","NR","0","100","0","MSD","NR","72","28","MAC","N","","","cyclosporine","N","Y","N","N","","","100","28","Kara",2021
198,206,"Post-transplant Cy (PTCy + Tacrolimus + MMF)","PTCy_arm","Y","N","N",15,"51","53","53.3","26.7","13.3","NR","0","100","0","MSD","NR","60","40","MAC","Y","50","100","tacrolimus","Y","N","N","N","","","100","13.3","Kara",2021
201,209,"UD-HSCT (ATG)","comparator_arm","Y","N","N",68,"46.5","57.4","NR","NR","NR","NR","0","0","100","MUD","mixed","77.9","19.1","MAC","N","","","NR","N","Y","N","Y","rabbit_thymoglobulin","5","88.2","47.1","Kerbauy MN",2021
201,208,"Haplo-HSCT (PTCy)","PTCy_arm","Y","N","N",59,"40","54.2","NR","NR","NR","NR","100","0","0","haplo","BM","27.1","33.9","mixed","Y","50","100","tacrolimus","Y","N","N","N","","","91.5","39","Kerbauy MN",2021
430,479,"ATG","comparator_arm","N","Y","N",20,"45","NR","35","10","20","NR","0","0","NR","MUD","PBSC","60","40","MAC","N","","","NR","NR","Y","NR","Y","NR","NR","95","40","Kerbauy MN",2025
430,478,"PTCy","PTCy_arm","N","Y","N",16,"37.8","NR","31","25","25","NR","0","0","NR","MUD","BM","87.5","12.5","MAC","Y","NR","NR","NR","NR","NR","NR","N","","","87.5","25","Kerbauy MN",2025
5,8,"Tac/MTX","comparator_arm","Y","N","N",89,"57","NR","NR","NR","NR","NR","0","0","100","MUD","PBSC","40","60","RIC","N","","","tacrolimus","N","Y","N","N","","","68","NR","Khimani F",2021
5,9,"Tac/Sir","comparator_arm","Y","N","N",381,"60","NR","NR","NR","NR","NR","0","0","100","MUD","PBSC","38","62","RIC","N","","","tacrolimus","N","N","Y","N","","","63","NR","Khimani F",2021
5,6,"haplo-PTCy","PTCy_arm","Y","N","N",75,"54","NR","NR","NR","NR","NR","100","0","0","haplo","PBSC","43","57","RIC","Y","NR","NR","tacrolimus","UNCL","N","N","N","","","72","NR","Khimani F",2021
5,7,"MUD-PTCy","PTCy_arm","Y","N","N",38,"63","NR","NR","NR","NR","NR","0","0","100","MUD","PBSC","26","74","RIC","Y","NR","NR","tacrolimus","UNCL","N","N","N","","","62","NR","Khimani F",2021
