study_id,cohort_id,first_author,pub_year,journal,doi,pmid,paperpile_filename,title,country,region,study_design,single_or_multicenter,n_centers,enrollment_start_year,enrollment_end_year,era_category,follow_up_median_months,follow_up_min_months,follow_up_max_months,primary_for_cohort,cohort_overlap_status,overlap_with_study_ids,language,full_text_obtainable,author_contact_attempted,author_response_received,extractor_initials,verifier_initials,extraction_date,verification_date,extraction_notes
112,1008,Desai N,2026,British Journal of Haematology,10.1111/bjh.70269,NR,Desai N et al. 2026 - Impact of graft-versus-host disease prophylaxis st ... onor allogeneic haematopoietic cell transplantation - A propensi[...].pdf,Impact of graft-versus-host disease prophylaxis strategies on GvHD-free/relapse-free survival in young adults undergoing unrelated donor allogeneic haematopoietic cell transplantation: A propensity score-matched analysis,USA,NA,retrospective_cohort,registry,NR,2017,2021,post_2018,NR,NR,NR,partial,overlap_subset_of,"Shaffer 2024 (CIBMTR P-5891 dataset, parent publication)",English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Secondary analysis of publicly available CIBMTR dataset (P-5891, Shaffer et al. JCO 2024) restricted to young adults aged 18-39. MUD/MMUD HSCT for AML/ALL/MDS. N=1387 across 3 arms (PTCy-CNI-MMF n=306, CNI-MTX/MMF n=686, CNI-MTX/MMF+ATG n=395). Subset of CIBMTR cohort 1008 (CIBMTR_MUD_MMUD_Shaffer). Note: prompt mentioned MRD but paper is MUD/MMUD young adult subset."
118,1024,Dholaria,2021,J Hematol Oncol,10.1186/s13045-021-01086-2,NR,Dholaria B et al. 2021 - Allogeneic hematopoietic cell transplantation with cord blood versus mismatched unrelated donor with post-transplant cyclophosphamide in acute myeloid leukemia.pdf,Allogeneic hematopoietic cell transplantation with cord blood versus mismatched unrelated donor with post-transplant cyclophosphamide in acute myeloid leukemia,multinational,multinational,registry,registry,NR,2010,2019,mixed,NR,NR,NR,partial,partial_overlap,NR,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"EBMT ALWP retrospective registry study (cohort_id 1024). Two arms: CBT without PTCy (N=902) vs single-allele 9/10 MMUD with PTCy (N=280) in adults with AML, 2010-2019. Follow-up median 19.1 mo (MMUD) vs 46.8 mo (CBT). Only the MMUD arm is a PTCy arm; CBT is the comparator. 26% of MMUD received ATG in addition to PTCy (dual TCD). Conference abstract from 2020 ASH (not the extraction subject). Acute GVHD reported at 6 months (D+180) not D+100. Primary publication for MMUD-PTCy vs CBT outcomes within the EBMT ALWP cluster."
119,1045,Doppelhammer,2019,Annals of Hematology,10.1007/s00277-019-03593-2,NR,Doppelhammer M et al. 2019 - Comparable outcome after haploidentical and HLA-matched allogeneic stem cell transplantation for high-risk acute myeloid leukemia following sequential conditioning.pdf,Comparable outcome after haploidentical and HLA-matched allogeneic stem cell transplantation for high-risk acute myeloid leukemia following sequential conditioning-a matched pair analysis,Germany,EU,retrospective_cohort,multi,2,2009,2016,pre_2018,35,4,95,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Matched-pair analysis (1:1) on disease stage, ELN genetics, age (+/-5y). Two LMU-affiliated centers. Sequential conditioning (FLAMSA-RIC) standard at both centers regardless of donor. Haplo received either clofarabine-based or FLAMSA-based cytoreduction; HLA-matched uniformly FLAMSA. ATG used only in HLA-matched arm; PTCy used only in haplo arm."
120,1046,Dreger,2019,Blood Advances,10.1182/bloodadvances.2018027748,NR,Dreger P et al. 2019 - PTCy-based haploidentical vs matched related or unrelated donor reduced-intensity conditioning transplant for DLBCL.pdf,PTCy-based haploidentical vs matched related or unrelated donor reduced-intensity conditioning transplant for DLBCL,multinational,multinational,retrospective_cohort,registry,206,2008,2015,pre_2018,49,2,100,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Joint EBMT LWP + CIBMTR Lymphoma WC retrospective registry study of NMC/RIC alloHCT in DLBCL 2008-2015. Four arms: haplo-PTCy (n=132), MSD (n=525), MUD TCD+ (n=403, with ATG/alemtuzumab), MUD TCD- (n=378). All non-PTCy arms received CNI-based prophylaxis. Median follow-up of survivors 4.1 years (range 1.0-6.1) overall; per-arm ranges given in Table 1 (49 mo haplo, 48 mo MSD, 49 mo MUD TCD+, 39 mo MUD TCD-). N_centers reported in Table 1: 24+86+45+51=206. Patient-level overlap of MUD TCD+ arm (some EBMT centers used alemtuzumab/ATG) not enumerated separately. Region marked multinational (EU + NA: CIBMTR US/Canada + EBMT primarily European)."
122,1047,Dybko J,2023,International Journal of Molecular Sciences,10.3390/ijms24065764,NR,Dybko J et al. 2023 - The Benefits of the Post-Transplant Cyclophosphami ... ched Unrelated Donor Setting in Allogeneic Stem Cells Transplantation.pdf,The Benefits of the Post-Transplant Cyclophosphamide in Both Haploidentical and Mismatched Unrelated Donor Setting in Allogeneic Stem Cells Transplantation,Poland,EU,retrospective_cohort,multi,3,2015,2019,mixed,NR,NR,NR,partial,partial_overlap,"123,124",English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Paper self-describes as 'single-centered, retrospective study' but Methods state 'transplanted between 2015 and 2019 in three different Polish Centres' (Wroclaw, Gliwice, Poznan); treated as multicenter. Outcome timepoints reported are mostly cumulative through 5-year OS analysis; no D+100 or 1-year specific timepoints reported for CMV/aGvHD/cGvHD - reported as overall study-period crude proportions. CMV reactivation timing reported as median ~34-38 days post-transplant. User-provided PDF title in prompt conflated 'Evaluating the Impact...CMV Reactivation' (the 2023 Dybko systematic review title, jcm12247765) with 'PALG Real-World Analysis' subtitle (which actually belongs to the Dybko 2024 PALG paper, jcm13123569). Extracted the 2023 IJMS 'Benefits of PTCy' paper as the closest matching primary research paper that compares PTCy vs ATG with CMV outcomes; cohort_label PALG_Polish_registry assigned per prompt."
123,1047,Dybko J,2023,Int J Mol Sci,10.3390/ijms24065764,NR,Dybko J et al. 2023 - The Benefits of the Post-Transplant Cyclophosphami ... ched Unrelated Donor Setting in Allogeneic Stem Cells Transplantation.pdf,The Benefits of the Post-Transplant Cyclophosphamide in Both Haploidentical and Mismatched Unrelated Donor Setting in Allogeneic Stem Cells Transplantation,Poland,EU,retrospective_cohort,multi,3,2015,2019,mixed,NR,NR,NR,partial,partial_overlap,122,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Single-center described in abstract but Methods (4.1) state 3 Polish centres. Three-arm structure (haplo-PTCy, MMUD-PTCy, MMUD-ATG) is analyzed by collapsing into 2 immunosuppression groups for primary comparison. Survival OR=8.31 reported for MMUD-PTCy vs MMUD-ATG. PALG Polish registry sibling of Dybko 2024 study_id 122."
124,1047,Dybko J,2024,Journal of Clinical Medicine,10.3390/jcm13123569,NR,Dybko et al. 2024 - Optimizing Outcomes in Mismatched Unrelated Donor Allogeneic Hematopoietic Stem Cell Transplantation - The Role of Post-Transplant Cyclophosphamide in Graft versus Host Disease Prevention.pdf,Optimizing Outcomes in Mismatched Unrelated Donor Allogeneic Transplantation: Post-Transplant Cyclophosphamide's Dual Impact on Graft versus Host Disease Incidence and Overall Survival: Retrospective Analysis on Behalf of Polish Adult Leukemia Group,Poland,EU,retrospective_cohort,multi,3,2015,2019,mixed,8.5,3,83.59999999999999,partial,partial_overlap,"122,123",English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Same PALG Polish cohort as study_ids 122 and 123 (Dybko 2023 IJMS). Three arms: PTCy-haplo (n=114), PTCy-MMUD (n=23), ATG-MMUD (n=37). All PBSC. Follow-up median 8.5 months (alive at end of study); broader for full cohort. cohort_id 'NEW_PALG_Polish_registry' will be reassigned by consolidator."
133,1048,Esquirol A,2020,Annals of Hematology,10.1007/s00277-019-03870-0,NR,Esquirol A et al. 2020 - When an HLA identical donor is not available in adults with hematological neoplasms - single-center comparison of single-unit cord blood transplantation and haploidentical-related PBSC transplantation.pdf,When an HLA identical donor is not available in adults with hematological neoplasms: single-center comparison of single-unit cord blood transplantation and haploidentical-related PBSC transplantation with PTCy using a standardized conditioning platform (thiotepa-busulfan-fludarabine),Spain,EU,retrospective_cohort,single,1,2005,2017,pre_2018,NR,1,151,Y,partial_overlap,134,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Median follow-up reported separately per arm (25 mo Haplo, 83 mo UCBT). Outcomes censored at 4 yr (50 mo). HaploHCT n=30, UCBT n=47. Conditioning TBF in both arms. UCBT used ATG + CSA/prednisone or MMF; HaploHCT used PTCy + tacrolimus."
134,1049,Esquirol A,2021,Bone Marrow Transplantation,10.1038/s41409-021-01328-4,NR,Esquirol A et al. 2021 - Severe infections and infection-related mortality in a large series of haploidentical hematopoietic stem cell transplantation with post-transplant cyclophosphamide.pdf,Severe infections and infection-related mortality in a large series of haploidentical hematopoietic stem cell transplantation with post-transplant cyclophosphamide,Spain,EU,retrospective_cohort,multi,6,2013,2018,mixed,37,12,82,Y,partial_overlap,"1019,1020",English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Single-arm haplo-PTCy descriptive cohort (no comparator). Spanish GETH 6-center retrospective. Focus on severe infections, IRM. Median follow-up 37 mo (survivors); range stated as 1-82 in table but 12-82 in text for survivors."
136,1050,Fox ML,2024,Bone Marrow Transplantation,10.1038/s41409-024-02322-2,NR,Fox ML et al. 2024 - Post-transplant cyclophosphamide compared to siroli ... sity conditioning transplants for patients with lymphoid malignancies.pdf,Post-transplant cyclophosphamide compared to sirolimus/tacrolimus in reduced intensity conditioning transplants for patients with lymphoid malignancies,Spain,EU,retrospective_cohort,multi,8,2012,2020,mixed,NR,NR,NR,Y,none,NR,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Spanish GETH-TC multicenter retrospective study, lymphoid malignancies (NHL/HL/MM), RIC. PTCY (n=82) vs SIR/TAC (n=89). Haplo and UCB excluded. Median follow-up reported separately by arm: 23 mo (PTCY) vs 78.6 mo (SIR/TAC). Comparison: PTCy vs non-PTCy CNI/Sir-based, primarily MRD/MUD context; Comparison 2 eligible (not haplo). Primary endpoint GRFS."
137,1051,Fox ML,2026,Transplantation and Cellular Therapy,10.1016/j.jtct.2026.01.013,NR,Fox ML et al. 2026 - Haploidentical Donor versus Mismatched Unrelated Donor in Reduced-Intensity Conditioning Allogeneic Stem Cell Transplantation.pdf,Haploidentical Donor versus Mismatched Unrelated Donor in Reduced-Intensity Conditioning Stem Cell Transplantation: A GETH-TC Study,Spain,EU,retrospective_cohort,multi,12,2012,2022,mixed,47.7,NR,NR,Y,partial_overlap,"possible overlap with cohort 1019 (Bailen GETH MUD/mMUD), cohort 1020 (GETH-TC AML PTCy), and possibly study 136 (Vall d'Hebron); adjudicate at consolidation",English,Y,N,NA,RL,PEND,2026-05-26,PEND,"GETH-TC/EBMT 12-center retrospective comparing HAPLO (n=330), MMUD-PTCy (n=49), MMUD-OTHERS (n=74). Note that two MMUD-OTHERS sample sizes appear in paper: N=74 in Table 1 baseline but N=79 in Table 3 outcomes; Methods text states 'A total of 330 HAPLO, 49 MMUD-PTCy, and 76 MMUD-OTHERS HSCTs'. Used N=74 for arm n_patients per Table 1 baseline characteristics; outcome denominators use 79 per Table 3 (extraction uses Table 1 baseline). Possible Vall d'Hebron subset overlap with study 136."
140,1052,Fuchs EJ,2021,Blood,10.1182/blood.2020007535,NR,Fuchs E.J. et al. 2021 - Double unrelated umbilical cord blood vs HLA-haploidentical bone marrow transplantation - the BMT CTN 1101 trial.pdf,Double unrelated umbilical cord blood vs HLA-haploidentical bone marrow transplantation: the BMT CTN 1101 trial,USA,NA,RCT,multi,33,2012,2018,pre_2018,24,NR,NR,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"ITT analysis: 186 randomized to dUCB / 182 to haplo-BM. Outcome denominators per ITT (Fig 6, KM/CIF curves). For Fig 3-5 (engraftment/GVHD) outcomes the paper reports n=175 (dUCB) and n=167 (haplo) at-risk patients (those actually transplanted on assigned arm); we used these as denominator_n for engraftment and GVHD outcomes as per source figure. Median follow-up among survivors 24 months (IQR 23-25) both arms."
141,1053,Galli E,2022,Supportive Care in Cancer,10.1007/s00520-022-06916-8,NR,Galli E et al. 2022 - Hemorrhagic cystitis in allogeneic stem cell transplantation - a role for age and prostatic hyperplasia.pdf,Hemorrhagic cystitis in allogeneic stem cell transplantation: a role for age and prostatic hyperplasia,Italy,EU,retrospective_cohort,single,1,2017,2020,post_2018,NR,NR,NR,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Single-center Gemelli Rome retrospective cohort. PTCy vs MTX triple prophylaxis (both with CsA+MMF). Conditioning predominantly TT-Bu-Flu (76% MAC). Primary endpoint is hemorrhagic cystitis. Most reported outcomes stratified by HC status, not by arm; per-arm extraction limited to HC incidence and overall denominators. aGVHD II-IV and NRM reported but not separately by GVHD-prophylaxis arm."
142,1016,Gantner,2026,Bone Marrow Transplantation,10.1038/s41409-026-02827-y,NR,Gantner et al. 2026 - Haploidentical transplantation with post-transplan ... 10-MUD transplantation with ATG in patients with myeloid malignancies.pdf,Haploidentical transplantation with post-transplant cyclophosphamide is not inferior to 9/10-MUD transplantation with ATG in patients with myeloid malignancies,Germany,EU,registry,multi,48,2009,2020,mixed,NR,NR,NR,partial,partial_overlap,33,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"PROMPT MISMATCH: Subagent prompt described an SAA paper (Gantner 2026 - SAA haplo+PTCy vs 10/10 MUD); the actual Gantner 2026 PDF in the corpus is myeloid malignancies (AML/MDS) haplo+PTCy vs 9/10-MUD+ATG, German DRST registry, 1413 patients across 48 centers 2009-2020. Comparator is 9/10-MUD (NOT 10/10 MUD), so comparison_2_eligible (MMUD) applies, not comparison_1. Cohort 1016 (DRST_German_registry) per description compares haplo vs 10/10 MUD; this paper covers haplo vs 9/10 MUD stratum of same DRST registry - flagged as partial_overlap with study 33 (Arslan 2023 DRST). Consolidator may want to split cohort 1016 into stratum-specific cohorts or expand the description."
144,1054,Gao M,2025,Annals of Hematology,10.1007/s00277-024-06051-w,NR,Gao M. et al. 2025 - Similar outcomes between HLA-haploid and matched sibling donor transplant in severe aplastic anemia and refractory cytopenia.pdf,"Similar outcomes between HLA-haploid and matched sibling donor hematopoietic stem cell transplantation: a multicenter, retrospective study and severe aplastic anemia transplant-specific prognostic scoring system",China,Asia,retrospective_cohort,multi,4,2016,2020,post_2018,26.5,2,117,Y,partial_overlap,NR,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"SAA-only disease-specific study. Two arms: MSD-HSCT (n=39) and haplo-HSCT (n=117). GVHD prophylaxis is heterogeneous within each arm: ATG-based, PT-CY-based, ATG+MSCs. Only 4/39 (10.3%) of MSD arm and 31/117 (26.5%) of haplo arm received PT-CY-based prophylaxis. Outcomes are NOT stratified by GVHD prophylaxis subtype — only by donor type. This is a haplo vs MSD comparison in SAA with mixed PTCy/ATG prophylaxis."
146,1055,Garcia-Horton A,2026,Transplantation and Cellular Therapy,10.1016/j.jtct.2026.03.025,NR,Garcia-Horton et al. 2026 - GVHD prophylaxis with ATG and PTCy versus PT ... d regimens in haploidentical stem cell transplantation - A CTTC study.pdf,GVHD Prophylaxis With ATG and PTCy Versus PTCy-Based Regimens in Haploidentical Stem Cell Transplantation: A CTTC Study,Canada,NA,retrospective_cohort,multi,11,2016,2023,mixed,NR,NR,NR,Y,partial_overlap,"PMHCC ATG-PTCy arm may overlap with Law 2018, Salas 2021, and PMH cohorts 1013/1042/1043",English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Canadian CTTC registry, 11 centers. ATG-PTCy entirely from PMHCC; PTCy-only from other centers. Comparison 3 within-PTCy variant (ATG-PTCy vs PTCy). Follow-up duration not explicitly stated in main text."
147,1056,Ge S,2025,Current Oncology,10.3390/curroncol32020118,NR,Ge S et al. 2025 - Outcomes of Allogeneic Stem Cell Transplant in Patients with Relapsed - Refractory Hodgkin Lymphoma.pdf,Outcomes of Allogeneic Stem Cell Transplant in Patients with Relapsed/Refractory Hodgkin Lymphoma,Canada,NA,single_arm_descriptive_excluded,single,1,2016,2024,mixed,NR,NR,NR,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Single-arm descriptive paper (no comparator arm, no PTCy stratification — paper reports 21 R/R HL alloSCT patients as a single cohort with subgroup analysis by prior PD-1 inhibitor exposure, NOT by GVHD prophylaxis). 18/21 (86%) received PTCy/tacro/MMF; 3/21 (14%) received ATG/CNI/MMF, but no comparative outcomes are reported between these groups. Protocol-excluded per single_arm_descriptive_excluded but tracked for PRISMA. PROMPT MISMATCH: prompt described this paper as 'R/R AML — sequential conditioning' but the actual PDF is for R/R Hodgkin Lymphoma with NMA Flu/Cy/TBI 200 conditioning (not sequential). No sequential conditioning reported. No outcome rows extracted per single_arm_descriptive_excluded rule."
151,1024,Giebel S,2023,Cancer,10.1002/cncr.35004,NR,Giebel et al. 2023 - Cancer - 2023 - Giebel - Posttransplant cyclophosphamide versus antithymocyte globulin in patients with acute lymphoblastic.pdf,Posttransplant cyclophosphamide versus antithymocyte globulin in patients with acute lymphoblastic leukemia treated with allogeneic hematopoietic cell transplantation from matched unrelated donors: A study from the Acute Leukemia Working Party of the European Society for Blood and Marrow Transplantation,multinational,multinational,registry,registry,NR,2015,2020,mixed,NR,NR,NR,partial,partial_overlap,EBMT_ALWP_cluster,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"EBMT ALWP registry study of ALL CR1 patients undergoing 10/10 MUD allo-HCT, 2015-2020. NOTE: Prompt indicated 'R/R ALL' but the paper actually covers ALL in first complete remission (CR1), not relapsed/refractory ALL. The PDF in Paperpile labeled 'relapsed/refractory ALL' is the same Cancer 2023 paper (DOI 10.1002/cncr.35004) which is ALL CR1. Median follow-up: PTCy 19mo, ATG 24mo. Primary endpoint LFS. PTCy group n=117, ATG group n=779."
152,1057,Gimenez E,2025,Transplant Infectious Disease,10.1111/tid.70089,NR,Gimenez E. et al. 2025 - Adenovirus Burden in Allogeneic Hematopoietic S ... onitoring Versus Symptoms-Based Testing-A Cost-Effectiveness Analysis.pdf,Adenovirus Burden in Allogeneic Hematopoietic Stem Cell Transplantation: Monitoring Versus Symptoms-Based Testing—A Cost-Effectiveness Analysis,Spain,EU,single_arm_descriptive_excluded,single,1,2020,2024,post_2018,12,6,12,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Single-arm descriptive — 97% of cohort received PTCy (Pt-Cy/Sir-MMF n=123 [94%] + Pt-Cy/CsA-MMF n=4 [3%]) without a non-PTCy comparator. The two analytic arms in this paper (monitoring n=77 vs symptom-based testing n=54) differ only in AdV surveillance strategy, not in GVHD prophylaxis or transplant treatment. Both arms are predominantly PTCy. Paper excluded from outcome extraction per spec rule for single_arm_descriptive cohorts with no PTCy contrast. Tracked for PRISMA. Cohort is from Hospital Clinic Universitario de Valencia (INCLIVA / Piñana / Solano / Navarro group) — distinct from Hospital Universitari i Politecnic La Fe Valencia in cohorts 1019 and 1038."
155,1058,Girmenia C,2025,Open Forum Infectious Diseases,10.1093/ofid/ofaf233,NR,Girmenia C. et al. 2025 - The Changing Impact of Human Cytomegalovirus S ... splantation - An Italian Prospective Multicenter Survey in the E[...].pdf,The Changing Impact of Human Cytomegalovirus Serology and Infection on Patient Outcome After Allogeneic Hematopoietic Stem Cell Transplantation: An Italian Prospective Multicenter Survey in the Era of Letermovir Prophylaxis,Italy,EU,single_arm_descriptive_excluded,multi,42,2021,2022,post_2018,12,NR,NR,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"EXCLUDED from PTCy contrast extraction: paper stratifies the 1310-patient cohort by letermovir prophylaxis (LET-PP yes n=879 vs no n=431), not by PTCy vs non-PTCy. PTCy is used in 525/1310 (40.9%) overall (395 in LET-PP arm, 130 in non-LET-PP arm) and is included as a covariate in univariate/multivariate Cox/Fine-Gray models but PTCy was NOT statistically significant for CS-HCMV-i risk in either LET-PP stratum (HR 1.25, P=.19 in LET-PP; HR 1.25, P=.40 in no LET-PP) and outcomes are NOT reported separately for PTCy vs non-PTCy arms. No PTCy vs comparator contrast is constructable from reported data. Per spec, single-arm descriptive without PTCy contrast -> study_design=single_arm_descriptive_excluded, skip outcome extraction; tracked for PRISMA. Key cohort-level findings: CS-HCMV-i CI at D+100 = 3.8% (LET-PP) vs 14% (no LET-PP); at D+180 = 16% (LET-PP) vs 17% (no LET-PP). 1-year OS = 81.1% overall (80.9% LET-PP, 81.4% no LET-PP). HCMV end-organ disease 10/1310 (0.8%)."
158,1001,Goldsmith SR,2016,Haematologica,10.3324/haematol.2016.149880,NR,"Goldsmith SR et al. 2016 - Cytomegalovirus viremia, disease, and impact ... atopoietic cell transplantation with post-transplant cyclophosphamide.pdf","Cytomegalovirus viremia, disease, and impact on relapse in T-cell replete peripheral blood haploidentical hematopoietic cell transplantation with post-transplant cyclophosphamide",USA,NA,retrospective_cohort,single,1,NR,NR,pre_2018,7.2,0.2,58.4,N,partial_overlap,"4,8",English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Letter to the Editor (Haematologica 2016;101:e465-e468). Single-center retrospective study at Washington University, St. Louis, of 138 haplo-HCT recipients with PBSC graft and PTCy. Per skill bundle instructions, assigned to CIBMTR HaploCy cluster (cohort 1001) as precursor/overlapping with Goldsmith 2021 (study 4, primary for CMV) and study 8. Cohort stratified by post-transplant CMV viremia (yes n=80 vs no n=58); both arms received same PTCy-based regimen; this is a single-arm PTCy study with stratification by CMV viremia, not by GVHD prophylaxis. Median follow-up 220 days for all patients (441 days for alive). Enrollment years not explicitly given but era inferred pre-2018."
162,1059,Gronvold BL,2024,eJHaem,10.1002/jha2.842,NR,Gronvold B.L. et al. 2024 - Allogeneic stem cell transplant recipients surviving at least 2 years without relapse - outcome and risk factors.pdf,Allogeneic stem cell transplant recipients surviving at least 2 years without relapse: outcome and risk factors,Norway,EU,single_arm_descriptive_excluded,single,1,2005,2019,mixed,74.40000000000001,24,193.2,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Single-center Norwegian (Oslo) retrospective cohort of 421 2-year survivors from 1000 transplanted 2005-2019. PTCy used in only 17/421 patients (4%, haploidentical donors with CsA+MMF). NO PTCy-vs-comparator stratification reported. Outcomes (OS, NRM, relapse, cause-of-death analysis) reported only for entire cohort with multivariate risk factor analyses; PTCy is not analyzed as a covariate in the published models (GVHD prophylaxis category was tested in univariate but not significant in MVA per text). Paper is protocol-excluded as single_arm_descriptive: no PTCy contrast structure, mixed GVHD prophylaxis predominantly CsA+MTX. Tracked for PRISMA. Outcomes block intentionally empty per spec."
163,1060,Grosso,2020,Biology of Blood and Marrow Transplantation,10.1016/j.bbmt.2020.06.021,NR,Grosso D et al. 2020 - Low Nonrelapse Mortality after HLA-Matched Relate ... versus-Host Disease Prophylaxis and the Potential Impact of Non-[...].pdf,Low Nonrelapse Mortality after HLA-Matched Related 2-Step Hematopoietic Stem Cell Transplantation Using Cyclophosphamide for Graft-versus-Host Disease Prophylaxis and the Potential Impact of Non-Cyclophosphamide-Exposed T Cells on Outcomes,USA,NA,single_arm_descriptive_excluded,single,1,2008,2018,mixed,63,12,132,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Single-arm prospective phase II trial (NCT01315132). No comparator arm. Per spec, single_arm_descriptive_excluded - tracked for PRISMA but no outcome extraction. Prompt suggested RIC but the paper explicitly describes a myeloablative regimen with 12 Gy TBI. PTCy dose is 60 mg/kg/day x 2 (non-standard); given as bidirectional tolerization between two graft components (after step 1 DLI, before step 2 CD34-selected graft). Outcomes summary from paper: 1yr OS 89.1%, 5yr OS 65.8%; 1yr NRM 4.3%, 5yr NRM 4.3% (only 2 NRM events at d+38 and d+187); aGVHD II-IV CI 13% at 1yr/5yr (4 grade II, 2 grade III, no grade IV); cGVHD CI 9% at 1/2/5yr; CI relapse 23.9% 1yr, 45.7% 5yr; CMV reactivation 22% at d+100 (10/46), no CMV disease; BK 3/46, HHV-6 2/46, no EBV/adenovirus, no infectious deaths."
166,1061,Guo W,2026,Leukemia & Lymphoma,10.1080/10428194.2026.2645932,NR,Guo W et al. 2026 - Reduced-dose anti-thymocyte globulin combined with post-transplant cyclophosphamide for GVHD prophylaxis in haploidentical stem cell transplantation.pdf,Reduced-dose anti-thymocyte globulin combined with post-transplant cyclophosphamide versus standard ATG for graft-versus-host disease prophylaxis in haploidentical hematopoietic stem cell transplantation: a focus on chronic GVHD reduction,China,Asia,retrospective_cohort,single,1,2019,2024,post_2018,38.5,3,82,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Two-arm retrospective haplo-HSCT study from Luoyang Central Hospital. Primary outcome cGVHD. ATG-PTCy uses reduced-dose ATG 7.5 mg/kg plus reduced-dose PTCy 20 mg/kg/d x 2 (total 40 mg/kg, lower than standard 50 mg/kg x 2). Comparator is standard ATG 10 mg/kg without PTCy."
167,1062,Haebe S,2023,Cancers (Basel),10.3390/cancers15215246,NR,Haebe S et al. 2023 - PTCY-Based Haploidentical Donor Transplantation ve ... Patients with Refractory or Relapsed Lymphoma-A Matched-Pair Analysis.pdf,PTCY-Based Haploidentical Donor Transplantation versus HLA-Matched Related and Unrelated Donor Transplantations in Patients with Refractory or Relapsed Lymphoma-A Matched-Pair Analysis,Germany,EU,retrospective_cohort,single,1,2000,2017,pre_2018,126,NR,NR,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Matched-pair design (16x3=48 patients) from LMU Munich, r/r NHL, median FU >10 yrs. Note paper title in prompt referenced Hodgkin lymphoma but actual paper is non-Hodgkin lymphoma (NHL). Sequential clofarabine-based conditioning before RIC Flu/Mel in haplo arm. Median year of transplant: MRD 2006, URD 2008, haplo 2012."
168,1063,Hamadani M,2022,Blood Advances,10.1182/bloodadvances.2021005899,NR,Hamadani M et al. 2022 - Outcome of allogeneic transplantation for mature T-cell lymphomas - impact of donor source and disease characteristics.pdf,Outcome of allogeneic transplantation for mature T-cell lymphomas: impact of donor source and disease characteristics,multinational,multinational,registry,registry,NR,2008,2018,mixed,38,1,134,Y,partial_overlap,"prior EBMT ALCL allo-HCT analysis (Le Gouill et al, ref 34, n=23 overlap); prior CIBMTR AITL allo-HCT analysis (ref 35, n=144 overlap)",English,Y,N,NA,RL,PEND,2026-05-26,PEND,EBMT+CIBMTR collaborative registry. PTCy is structural to haplo arm only (haplo-HCT recipients were limited to those receiving PTCy-based GVHD prophylaxis with or without CNI and MMF). MSD/MUD arms used CNI-based prophylaxis without PTCy; MUD TCD+ used in vivo TCD with ATG or alemtuzumab. 3-year follow-up completeness 79.2%. Median follow-up of survivors 38 months (range 1-134).
170,1064,Harada K,2025,Transplantation and Cellular Therapy,10.1016/j.jtct.2024.11.011,NR,Harada K et al. 2025 - Comparison of Nonrelapse Mortality After Haploidentical Hematopoietic Cell Transplantation With Post-Transplant Cyclophosphamide Versus Single Unit Cord Blood Transplantation.pdf,Comparison of Nonrelapse Mortality After Haploidentical Hematopoietic Stem Cell Transplantation With Posttransplant Cyclophosphamide Versus Single Umbilical Cord Blood Transplantation in Hematologic Disease,Japan,Asia,registry,registry,NR,2014,2020,mixed,33,NR,NR,Y,partial_overlap,171,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Japanese JDCHCT TRUMP2 registry. Study 171 (Harada 2023 ASH abstract) is preliminary version of same cohort. Median follow-up 1006 days (~33 months) for survivors. PTCy-haplo arm: 93.8% PBSC, 6.2% BM. UCB arms are single-unit UCBT split by median CD34+ cell count (0.84 x 10^5/kg). Three-arm comparison; PTCy-haplo is reference arm for both UCB-H and UCB-L."
