outcome_id,arm_id,study_id,cohort_id,outcome_category,outcome_subtype,timepoint,timepoint_days_numeric,is_primary_timepoint,is_primary_definition,denominator_n,event_count,proportion_reported_pct,cumulative_incidence_pct,ci_lower_pct,ci_upper_pct,ci_method,competing_risks_handled,hr_value,hr_ci_lower,hr_ci_upper,hr_comparator_arm_id,hr_adjusted,incidence_rate_value,incidence_rate_unit,person_time_total,person_time_unit,median_time_to_event_days,ascertainment_method,screening_frequency_per_week,definition_text,data_source,data_quality_flag,extraction_notes
480,73,63,1024,overall_mortality,OS_event,D+730_2yr,730,N,Y,292,NR,NR,37.1,NR,NR,Kaplan_Meier,N_KM_or_crude,1.06,0.8100000000000001,1.39,71,adjusted,NR,NA,NR,NA,NR,clinical_only,NR,OS defined as time until death from any cause,table,derived,"OS 62.9% at 2yr, CI = 100 - 62.9 = 37.1%. PTCy+ATG vs PTCy MVA OS HR 1.06 (0.81-1.39) p=.68."
481,71,63,1024,engraftment_failure,primary_graft_failure,end_of_followup,NR,N,Y,2931,166,5.7,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Engraftment reported as yes/no,table,direct,Engraftment denominator excludes 68 missing; 166 non-engraftment / 2931 = 5.7%.
482,72,63,1024,engraftment_failure,primary_graft_failure,end_of_followup,NR,N,Y,355,16,4.5,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Engraftment reported as yes/no,table,direct,Engraftment denominator excludes 3 missing; 16/355 = 4.5%.
483,73,63,1024,engraftment_failure,primary_graft_failure,end_of_followup,NR,N,Y,287,14,4.9,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Engraftment reported as yes/no,table,direct,Engraftment denominator excludes 5 missing; 14/287 = 4.9%.
484,71,63,1024,infection_related_mortality,IRM_any_cause_infectious,end_of_followup,NR,N,Y,2999,326,10.9,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Cause of death tabulated as 'Infection' in Table 6,table,derived,Deaths due to infection / total arm N = 326/2999 = 10.9%. Crude over entire follow-up.
485,72,63,1024,infection_related_mortality,IRM_any_cause_infectious,end_of_followup,NR,N,Y,358,50,14,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Cause of death tabulated as 'Infection' in Table 6,table,derived,Deaths due to infection / total arm N = 50/358 = 14.0%.
486,73,63,1024,infection_related_mortality,IRM_any_cause_infectious,end_of_followup,NR,N,Y,292,31,10.6,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Cause of death tabulated as 'Infection' in Table 6,table,derived,Deaths due to infection / total arm N = 31/292 = 10.6%.
487,74,65,1026,aGVHD,grade_II_IV,D+100,100,Y,Y,39,NR,NR,39,26,60,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,"Acute GvHD classified according to Seattle criteria. Day 100 GvHD II-IV CI 39% (95% CI 26-60), p=0.0006 vs PT-Cy.",table,direct,Table 2a; competing risks were relapse and death in remission.
488,74,65,1026,aGVHD,grade_III_IV,D+100,100,Y,Y,39,NR,NR,11,4,28,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,"Acute GvHD classified per Seattle criteria. Day 100 GvHD III-IV CI 11% (95% CI 4-28), p=0.014 vs PT-Cy.",table,direct,Table 2a.
489,74,65,1026,cGVHD,extensive_Seattle,D+730_2yr,1095,N,Y,39,NR,NR,34,21,57,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Chronic GvHD per Seattle criteria. 3-year cumulative incidence of extensive cGvHD 34% (21-57) ATG vs 3% (1-18) PT-Cy (p<0.001). Total 3y cGvHD any 48% (33-70).,narrative_text,direct,3-year cGvHD reported in text and Table 2. Timepoint mapped to closest 3-year analog.
490,74,65,1026,NRM,NRM_overall,D+365_1yr,1095,N,Y,39,NR,NR,36,24,55,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,"TRM defined as probability of dying without recurrence of underlying disease. 3-year TRM 36% (24-55) ATG vs 8% (2-23) PT-Cy, p=0.0033.",table,direct,"3-year TRM only reported, not D+100 or 1y. Timepoint set to 3y/end_of_followup proxy."
491,74,65,1026,overall_mortality,OS_event,D+730_2yr,1095,N,Y,39,20,51.3,58,40,75,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,"OS = probability of survival irrespective of disease state. 3-year OS 42% (25-60) ATG vs 64% (41-88) PT-Cy, p<0.0005. Event_count = 20 deaths reported in Cause of Death section.",table,derived,3y OS 42% reported; cumulative mortality = 100-OS = 58%. Total deaths 20/39 from Cause of Death section.
492,74,65,1026,engraftment_failure,primary_graft_failure,D+30,30,Y,Y,39,5,12.8,NR,NR,NR,crude_proportion,NR,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,"ANC engraftment defined as first of 3 consecutive days ANC >0.5x10^9/L independent of G-CSF. 5 patients in ATG group (13%) did not achieve neutrophil engraftment vs 1 in PT-Cy (2%), p=NS.",narrative_text,direct,Section 3.3.
493,75,65,1026,aGVHD,grade_II_IV,D+100,100,Y,Y,40,NR,NR,7,2,22,Gray_CIF,Y_CIF,NR,NR,NR,74,NR,NR,NA,NR,NA,NR,clinical_only,NR,"Acute GvHD per Seattle criteria. Day 100 GvHD II-IV CI 7% (95% CI 2-22), p=0.0006 vs ATG.",table,direct,"Table 2a. Univariate OR ATG vs PT-Cy 1.28 (1.1-3.9), p=0.05 multivariate."
494,75,65,1026,aGVHD,grade_III_IV,D+100,100,Y,Y,40,0,0,0,NR,NR,Gray_CIF,Y_CIF,NR,NR,NR,74,NR,NR,NA,NR,NA,NR,clinical_only,NR,"Acute GvHD per Seattle criteria. Day 100 GvHD III-IV CI 0%, p=0.014 vs ATG.",table,direct,Table 2a; no severe aGvHD events in PT-Cy arm.
495,75,65,1026,cGVHD,extensive_Seattle,D+730_2yr,1095,N,Y,40,NR,NR,3,1,18,Gray_CIF,Y_CIF,0.143,0.07000000000000001,0.4,74,adjusted,NR,NA,NR,NA,NR,clinical_only,NR,"Chronic GvHD per Seattle criteria. 3-year extensive cGvHD 3% (1-18) PT-Cy vs 34% (21-57) ATG, p<0.001. 3y any cGvHD 13% (6-30) PT-Cy vs 48% ATG (p=0.0005). MVA OR for ATG=1, PT-Cy 0.143 (0.07-0.4), p=0.001.",narrative_text,direct,Multivariate OR reported in Table 3; PT-Cy protective vs ATG.
496,75,65,1026,NRM,NRM_overall,D+365_1yr,1095,N,Y,40,NR,NR,8,2,23,Gray_CIF,Y_CIF,0.231,0.09,0.4,74,adjusted,NR,NA,NR,NA,NR,clinical_only,NR,"3-year TRM 8% (2-23) PT-Cy vs 36% (24-55) ATG, p=0.0033. MVA OR PT-Cy 0.231 (0.09-0.4), p=0.031.",table,direct,Only 3y TRM reported. Timepoint coded as nearest available proxy.
497,75,65,1026,overall_mortality,OS_event,D+730_2yr,1095,N,Y,40,10,25,36,12,59,Kaplan_Meier,N_KM_or_crude,0.342,0.18,0.5600000000000001,74,adjusted,NR,NA,NR,NA,NR,clinical_only,NR,"3-year OS 64% (41-88) PT-Cy vs 42% (25-60) ATG, p=0.005. MVA RR PT-Cy 0.342 (0.18-0.56), p=0.025. 10 deaths total (8 disease recurrence, 2 septicemia).",table,derived,Cumulative mortality = 100-OS = 36%. 10 deaths/40 in Cause of Death section.
498,75,65,1026,engraftment_failure,primary_graft_failure,D+30,30,Y,Y,40,1,2.5,NR,NR,NR,crude_proportion,NR,NR,NR,NR,74,NR,NR,NA,NR,NA,NR,clinical_only,NR,"1 patient in PT-Cy group (2%) did not achieve neutrophil engraftment, p=NS vs ATG.",narrative_text,direct,Section 3.3.
499,76,66,1027,aGVHD,grade_II_IV,D+100,100,Y,Y,28,7,NR,25,NR,NR,Gray_CIF,Y_CIF,0.37,0.16,0.87,77,adjusted,NR,NA,NR,NA,NR,clinical_only,NR,Acute GVHD grades II-IV (grading system not specified in text; cumulative incidence analyzed with Grey's Test). Multivariate Fine-Gray HR adjusted for HLA-match (10/10 vs <=9/10) and conditioning intensity (RIC vs MAC).,narrative_text,direct,100-day CI 25%; 1-year CI 29% (text). HR from multivariate Fine-Gray analysis. event_count derived as 25% of 28 = 7.
500,77,66,1027,aGVHD,grade_II_IV,D+100,100,Y,Y,28,14,NR,50,NR,NR,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NR,NA,NR,NA,NR,clinical_only,NR,Acute GVHD grades II-IV; cumulative incidence analyzed with Grey's Test.,narrative_text,direct,100-day CI 50%; 1-year CI 57% (text). event_count derived as 50% of 28 = 14. Reference arm for aGVHD HR.
501,76,66,1027,aGVHD,grade_III_IV,D+100,100,Y,Y,28,1,NR,3.6,NR,NR,Gray_CIF,Y_CIF,NR,NR,NR,77,NR,NR,NA,NR,NA,NR,clinical_only,NR,Acute GVHD grades III-IV; cumulative incidence analyzed with Grey's Test. p=0.16 between arms.,narrative_text,direct,"100-day CI 3.6%, 1-year 3.6%. event_count = round(3.6% * 28) = 1."
502,77,66,1027,aGVHD,grade_III_IV,D+100,100,Y,Y,28,3,NR,10.7,NR,NR,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NR,NA,NR,NA,NR,clinical_only,NR,Acute GVHD grades III-IV; cumulative incidence analyzed with Grey's Test.,narrative_text,direct,"100-day CI 10.7%, 1-year 14.3%. event_count = round(10.7% * 28) = 3."
503,76,66,1027,cGVHD,moderate_severe_NIH,D+730_2yr,730,N,Y,28,1,NR,4,NR,NR,Gray_CIF,Y_CIF,NR,NR,NR,77,NR,NR,NA,NR,NA,NR,clinical_only,NR,Moderate-severe chronic GVHD (grading system not specified; assumed NIH per modern convention). p=0.46.,narrative_text,direct,2-year CI 4%; 1-year not reported. event_count = round(4% * 28) = 1.
504,77,66,1027,cGVHD,moderate_severe_NIH,D+730_2yr,730,N,Y,28,3,NR,11,NR,NR,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NR,NA,NR,NA,NR,clinical_only,NR,Moderate-severe chronic GVHD (grading system not specified; assumed NIH).,narrative_text,direct,2-year CI 11%; 1-year not reported. event_count = round(11% * 28) = 3.
505,76,66,1027,NRM,NRM_overall,D+100,100,N,Y,28,3,NR,10.7,NR,NR,Gray_CIF,Y_CIF,NR,NR,NR,77,NR,NR,NA,NR,NA,NR,clinical_only,NR,Non-relapse mortality; cumulative incidence by Grey's Test. p=0.04 vs ATG.,narrative_text,direct,100-day NRM CI 10.7%; event_count = round(10.7% * 28) = 3.
506,77,66,1027,NRM,NRM_overall,D+100,100,N,Y,28,7,NR,25,NR,NR,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NR,NA,NR,NA,NR,clinical_only,NR,Non-relapse mortality; cumulative incidence by Grey's Test.,narrative_text,direct,100-day NRM CI 25%; event_count = round(25% * 28) = 7.
507,76,66,1027,infection_related_mortality,IRM_any_cause_infectious,D+730_2yr,730,N,Y,28,4,NR,15,NR,NR,Gray_CIF,Y_CIF,NR,NR,NR,77,NR,NR,NA,NR,NA,NR,clinical_only,NR,"Infections-related NRM (text: 'Infections-related NRM, although inferior in the PTCy group was not statistically significant (2 years 15 vs. 21%, p=0.26)').",narrative_text,direct,"2-year IRM 15%; 1-year primary timepoint not separately reported. event_count = round(15% * 28) = 4. Reported at 2y only, not D+365."
508,77,66,1027,infection_related_mortality,IRM_any_cause_infectious,D+730_2yr,730,N,Y,28,6,NR,21,NR,NR,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NR,NA,NR,NA,NR,clinical_only,NR,Infections-related NRM at 2 years.,narrative_text,direct,2-year IRM 21%; event_count = round(21% * 28) = 6.
509,76,66,1027,overall_mortality,OS_event,D+365_1yr,365,Y,Y,28,11,NR,39,NR,NR,Kaplan_Meier,N_KM_or_crude,0.4,0.18,0.9,77,adjusted,NR,NA,NR,NA,NR,clinical_only,NR,Overall survival by Kaplan-Meier; HR from multivariate Cox adjusted for HCT-CI/age and DRI.,narrative_text,derived,"1-year OS = 61%, so 1-yr OS_event CI% = 100-61 = 39%. event_count = round(39% * 28) = 11. HR is for PTCy vs ATG."
510,77,66,1027,overall_mortality,OS_event,D+365_1yr,365,Y,Y,28,17,NR,61,NR,NR,Kaplan_Meier,N_KM_or_crude,NA,NA,NA,NA,NA,NR,NA,NR,NA,NR,clinical_only,NR,Overall survival by Kaplan-Meier.,narrative_text,derived,"1-year OS = 39%, so 1-yr OS_event CI% = 100-39 = 61%. event_count = round(61% * 28) = 17."
511,76,66,1027,overall_mortality,OS_event,D+730_2yr,730,N,Y,28,11,NR,39,NR,NR,Kaplan_Meier,N_KM_or_crude,0.4,0.18,0.9,77,adjusted,NR,NA,NR,NA,NR,clinical_only,NR,Overall survival by Kaplan-Meier; HR from multivariate Cox adjusted for HCT-CI/age and DRI.,narrative_text,derived,"2-year OS = 61%, so 2-yr OS_event CI% = 39%. event_count = 11."
512,77,66,1027,overall_mortality,OS_event,D+730_2yr,730,N,Y,28,20,NR,70,NR,NR,Kaplan_Meier,N_KM_or_crude,NA,NA,NA,NA,NA,NR,NA,NR,NA,NR,clinical_only,NR,Overall survival by Kaplan-Meier.,narrative_text,derived,"2-year OS = 30%, so 2-yr OS_event CI% = 70%. event_count = round(70% * 28) = 20."
513,76,66,1027,CMV,any_reactivation,D+100,100,Y,Y,28,17,62,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,77,NR,NR,NA,NR,NA,NR,routine_screening,NR,"Positive CMV viremia measured by PCR with or without end-organ disease, within first 100 days. Compared with Chi-Square test, p=0.13.",narrative_text,direct,62% reactivation; event_count = round(62% * 28) = 17.
514,77,66,1027,CMV,any_reactivation,D+100,100,Y,Y,28,23,82,NR,NR,NR,crude_proportion,N_KM_or_crude,NA,NA,NA,NA,NA,NR,NA,NR,NA,NR,routine_screening,NR,"Positive CMV viremia measured by PCR with or without end-organ disease, within first 100 days.",narrative_text,direct,82% reactivation; event_count = round(82% * 28) = 23.
515,76,66,1027,CMV,CMV_end_organ_disease,D+100,100,Y,Y,28,7,25,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,77,NR,NR,NA,NR,NA,NR,routine_screening,NR,"CMV disease including only end-organ disease, within first 100 days. Chi-Square p=0.56.",narrative_text,direct,25% CMV disease; event_count = round(25% * 28) = 7.
516,77,66,1027,CMV,CMV_end_organ_disease,D+100,100,Y,Y,28,10,36,NR,NR,NR,crude_proportion,N_KM_or_crude,NA,NA,NA,NA,NA,NR,NA,NR,NA,NR,routine_screening,NR,"CMV disease including only end-organ disease, within first 100 days.",narrative_text,direct,36% CMV disease; event_count = round(36% * 28) = 10.
517,76,66,1027,BSI,any_pathogen,D+100,100,N,Y,28,12,43,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,77,NR,NR,NA,NR,NA,NR,clinical_only,NR,Bacteremia within first 100 days. Chi-Square p=0.78. (Paper uses 'bacteremia' rather than formal BSI definition.),narrative_text,direct,Bacteremia 43%; event_count = round(43% * 28) = 12. D+30 not reported.
518,77,66,1027,BSI,any_pathogen,D+100,100,N,Y,28,10,36,NR,NR,NR,crude_proportion,N_KM_or_crude,NA,NA,NA,NA,NA,NR,NA,NR,NA,NR,clinical_only,NR,Bacteremia within first 100 days.,narrative_text,direct,Bacteremia 36%; event_count = round(36% * 28) = 10.
519,76,66,1027,engraftment_failure,primary_graft_failure,D+30,30,Y,Y,28,0,0,NR,NR,NR,crude_proportion,N_KM_or_crude,NA,NA,NA,77,NA,NR,NA,NR,NA,NR,clinical_only,NR,Primary graft failure defined as failure to reach neutrophil engraftment (first of two consecutive days >500/mm3). Chi-Square/Fisher p=0.49.,narrative_text,direct,0 patients in PTCy group developed primary graft failure.
520,77,66,1027,engraftment_failure,primary_graft_failure,D+30,30,Y,Y,28,2,7.1,NR,NR,NR,crude_proportion,N_KM_or_crude,NA,NA,NA,NA,NA,NR,NA,NR,NA,NR,clinical_only,NR,Primary graft failure defined as failure to reach neutrophil engraftment.,narrative_text,direct,2 patients in ATG group developed primary graft failure.
521,78,67,1028,aGVHD,grade_III_IV,D+100,100,Y,Y,41,2,5,NR,NR,NR,Gray_CIF,Y_CIF,NR,NR,NR,NR,NR,NR,NR,NR,NR,30,clinical_only,NR,Clinically significant (grades III-IV) acute GvHD assessed using the Glucksberg criteria within the first 100 days post-transplant.,table,direct,Table 1: aGvHD grade 3-4: 2 (5%) in PTCy arm. p=0.18 vs non-Cy. Median onset 30 days (range 16-44).
522,79,67,1028,aGVHD,grade_III_IV,D+100,100,Y,Y,20,3,15,NR,NR,NR,Gray_CIF,Y_CIF,NR,NR,NR,NR,NR,NR,NR,NR,NR,58,clinical_only,NR,Clinically significant (grades III-IV) acute GvHD assessed using the Glucksberg criteria within the first 100 days post-transplant.,table,direct,Table 1: aGvHD grade 3-4: 3 (15%) in non-Cy arm. Median onset 58 days (range 27-84).
523,78,67,1028,aGVHD,any_grade,D+100,100,N,N,41,6,15,NR,NR,NR,Gray_CIF,Y_CIF,NR,NR,NR,NR,NR,NR,NR,NR,NR,30,clinical_only,NR,Acute GvHD any grade per Glucksberg criteria.,table,direct,Table 1: aGvHD any grade 6 (15%) PTCy. grade_II_IV not separately reported - any_grade extracted in lieu.
524,79,67,1028,aGVHD,any_grade,D+100,100,N,N,20,3,15,NR,NR,NR,Gray_CIF,Y_CIF,NR,NR,NR,NR,NR,NR,NR,NR,NR,58,clinical_only,NR,Acute GvHD any grade per Glucksberg criteria.,table,direct,Table 1: aGvHD any grade 3 (15%) non-Cy.
525,78,67,1028,cGVHD,extensive_Seattle,D+365_1yr,365,Y,N,41,4,10,NR,NR,NR,Gray_CIF,Y_CIF,NR,NR,NR,NR,NR,NR,NR,NR,NR,204,clinical_only,NR,"Clinically significant (extensive) chronic GvHD evaluated based on the National Institutes of Health consensus criteria, typically occurring beyond 100 days post-transplant. Methods say NIH; outcome subtype 'extensive' is Seattle nomenclature but used by authors.",table,direct,Table 1: cGvHD extensive 4 (10%) PTCy. Median onset 204 days. Authors label as 'extensive' but cite NIH 2014 criteria — keeping extensive_Seattle subtype per controlled vocabulary.
526,79,67,1028,cGVHD,extensive_Seattle,D+365_1yr,365,Y,N,20,5,25,NR,NR,NR,Gray_CIF,Y_CIF,NR,NR,NR,NR,NR,NR,NR,NR,NR,212,clinical_only,NR,Clinically significant (extensive) chronic GvHD evaluated based on the National Institutes of Health consensus criteria.,table,direct,Table 1: cGvHD extensive 5 (25%) non-Cy. Median onset 212 days.
527,78,67,1028,cGVHD,any_NIH,D+365_1yr,365,N,N,41,5,12,12,NR,NR,Gray_CIF,Y_CIF,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,clinical_only,NR,Chronic GvHD any grade by 1 year per NIH criteria.,figure_KM_curve,direct,Fig 4 / Table 1: cGvHD any grade by 1 year 5 (12%) PTCy; p=0.03 vs non-Cy.
528,79,67,1028,cGVHD,any_NIH,D+365_1yr,365,N,N,20,6,30,30,NR,NR,Gray_CIF,Y_CIF,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,clinical_only,NR,Chronic GvHD any grade by 1 year per NIH criteria.,figure_KM_curve,direct,Fig 4 / Table 1: cGvHD any grade by 1 year 6 (30%) non-Cy. Note Table 1 shows '7 (35%)' for cGvHD any grade and '6 (30%)' for cGvHD by 1 year - using the 1-year figure.
529,78,67,1028,NRM,NRM_overall,D+365_1yr,365,Y,Y,41,21,51,51,NR,NR,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,clinical_only,NR,Non-relapse mortality defined as death without evidence of primary disease relapse.,table,direct,Table 1 & 2: NRM at 1 year 21 (51%) PTCy; p=0.24 vs non-Cy.
530,79,67,1028,NRM,NRM_overall,D+365_1yr,365,Y,Y,20,7,35,35,NR,NR,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,clinical_only,NR,Non-relapse mortality defined as death without evidence of primary disease relapse.,table,direct,Table 1 & 2: NRM at 1 year 7 (35%) non-Cy.
531,78,67,1028,overall_mortality,OS_event,D+365_1yr,365,Y,Y,41,22,54,54,NR,NR,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,clinical_only,NR,Overall Survival (OS) was measured from the date of transplantation to the date of death from any cause or last follow-up.,figure_KM_curve,derived,"Fig 2 & Table 2: 1-yr OS 46% PTCy; derived event_count = 41 - 19 alive = 22, proportion = 54% (100 - 46). p=0.36 vs non-Cy."
532,79,67,1028,overall_mortality,OS_event,D+365_1yr,365,Y,Y,20,8,40,40,NR,NR,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,clinical_only,NR,Overall Survival (OS) was measured from the date of transplantation to the date of death from any cause or last follow-up.,figure_KM_curve,derived,"Fig 2 & Table 2: 1-yr OS 60% non-Cy; event_count = 20 - 12 = 8, proportion = 40% (100 - 60)."
533,78,67,1028,overall_mortality,OS_event,D+730_2yr,1825,N,N,41,33,80,80,NR,NR,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,clinical_only,NR,Overall Survival at 5 years (not 2yr - timepoint code D+730_2yr re-purposed for end_of_followup 5yr sensitivity since no 2yr reported).,figure_KM_curve,derived,"Fig 2 & Table 2: 5-yr OS 20% PTCy (Table 2 shows 8 alive); event_count = 41 - 8 = 33, proportion = 80%. NOTE: this is a 5-year point not 2-year; using D+730_2yr code for sensitivity slot per spec - flagged in extraction_notes."
534,79,67,1028,overall_mortality,OS_event,D+730_2yr,1825,N,N,20,14,70,70,NR,NR,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,clinical_only,NR,Overall Survival at 5 years.,figure_KM_curve,derived,"Fig 2 & Table 2: 5-yr OS 30% non-Cy (Table 2 shows 6 alive); event_count = 20 - 6 = 14, proportion = 70%. Timepoint code 2yr used for 5yr sensitivity per slot constraint - flagged."
535,80,71,1029,aGVHD,grade_II_IV,D+100,100,Y,Y,31,NR,NR,23,8,38,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,"Acute and chronic GVHD (aGVHD and cGVHD, respectively) were graded as previously reported, according to international criteria [Przepiorka 1995 consensus / Filipovich 2005 NIH].",table,direct,Table 2 reports aGVHD grade 2-4 CI without explicit timepoint; D+100 inferred as standard reporting timepoint.
536,81,71,1029,aGVHD,grade_II_IV,D+100,100,Y,Y,47,NR,NR,21,9,33,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Acute and chronic GVHD graded according to Przepiorka 1995 consensus / Filipovich 2005 NIH criteria.,table,direct,Haplo vs MRD: P=NS.
537,82,71,1029,aGVHD,grade_II_IV,D+100,100,Y,Y,63,NR,NR,44,32,57,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Acute and chronic GVHD graded according to Przepiorka 1995 consensus / Filipovich 2005 NIH criteria.,table,direct,Haplo vs UD: P=0.05.
538,80,71,1029,aGVHD,grade_III_IV,D+100,100,Y,Y,31,NR,NR,10,0,20,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Acute and chronic GVHD graded according to Przepiorka 1995 consensus / Filipovich 2005 NIH criteria.,table,direct,aGVHD grade 3-4 CI 10% (0-20).
539,81,71,1029,aGVHD,grade_III_IV,D+100,100,Y,Y,47,NR,NR,13,3,22,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Acute and chronic GVHD graded according to Przepiorka 1995 consensus / Filipovich 2005 NIH criteria.,table,direct,Haplo vs MRD: P=NS.
540,82,71,1029,aGVHD,grade_III_IV,D+100,100,Y,Y,63,NR,NR,25,15,36,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Acute and chronic GVHD graded according to Przepiorka 1995 consensus / Filipovich 2005 NIH criteria.,table,direct,Haplo vs UD: P=0.07.
541,80,71,1029,cGVHD,moderate_severe_NIH,D+730_2yr,730,N,Y,31,NR,NR,0,NR,NR,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,cGVHD graded according to NIH 2014 criteria (Filipovich 2005 NIH consensus). Table 2 reports 'Severe' cGVHD at 2 years.,table,direct,2-year severe cGVHD 0% in haplo arm. Paper text: 'No haplo-ID patient developed severe cGVHD'.
542,81,71,1029,cGVHD,moderate_severe_NIH,D+730_2yr,730,N,Y,47,NR,NR,16,5,26,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,cGVHD graded according to NIH 2014 criteria. Table 2 'Severe' cGVHD at 2 years.,table,direct,Haplo vs MRD: P=0.02.
543,82,71,1029,cGVHD,moderate_severe_NIH,D+730_2yr,730,N,Y,63,NR,NR,14,6,23,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,cGVHD graded according to NIH 2014 criteria. Table 2 'Severe' cGVHD at 2 years.,table,direct,Haplo vs UD: P=0.03.
544,80,71,1029,NRM,NRM_overall,D+730_2yr,730,N,Y,31,NR,NR,10,0,20,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Non-relapse mortality with relapse as competing risk; Gray test for comparison.,table,direct,2-year NRM. Primary timepoint per spec is 1yr but only 2yr is reported.
545,81,71,1029,NRM,NRM_overall,D+730_2yr,730,N,Y,47,NR,NR,11,2,20,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Non-relapse mortality with relapse as competing risk; Gray test for comparison.,table,direct,Haplo vs MRD: P=NS.
546,82,71,1029,NRM,NRM_overall,D+730_2yr,730,N,Y,63,NR,NR,34,22,45,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Non-relapse mortality with relapse as competing risk; Gray test for comparison.,table,direct,Haplo vs UD: P=0.01. UD NRM ~3-fold higher than haplo/MRD.
547,80,71,1029,overall_mortality,OS_event,D+730_2yr,730,N,Y,31,NR,NR,30,14,46,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,"Overall survival by Kaplan-Meier method, log-rank test for comparison.",table,derived,2-yr OS reported as 70% (54-86); converted to mortality = 100-70 = 30% (14-46).
548,81,71,1029,overall_mortality,OS_event,D+730_2yr,730,N,Y,47,NR,NR,22,10,34,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,"Overall survival by Kaplan-Meier, log-rank test.",table,derived,2-yr OS 78% (66-90); mortality = 100-78 = 22%. Haplo vs MRD: P=NS.
